City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
224,Kolondieba,11.0882,-6.8926,scattered clouds,72.95,19,35,4.43
225,Kutum,14.2,24.6667,clear sky,46.4,23,5,7.7
226,Nantucket,41.2835,-70.0995,light snow,36.14,83,100,20.0
227,Kashan,33.9831,51.4364,scattered clouds,38.5,42,27,1.21
228,Gizo,-8.103,156.8419,broken clouds,85.05,68,66,8.68
229,Kavieng,-2.5744,150.7967,light rain,83.28,73,100,3.04
230,Faya,18.3851,42.4509,scattered clouds,50.52,91,36,6.55
231,Nemuro,43.3236,145.575,broken clouds,27.03,64,52,11.56
232,Guerrero Negro,27.9769,-114.0611,clear sky,65.1,41,6,1.05
233,Adra,36.7496,-3.0206,clear sky,52.81,41,0,10.33
234,Cartagena,10.3997,-75.5144,few clouds,78.42,83,20,9.22
235,Geraldton,-28.7667,114.6,clear sky,100.81,28,0,14.97
236,Les Escoumins,48.1111,-69.0236,broken clouds,-1.05,100,72,1.21
237,Huatulco,15.8436,-96.3267,clear sky,75.87,78,3,4.27
238,Garowe,8.4054,48.4845,broken clouds,63.63,82,64,7.14
239,Fare,-16.7,-151.0167,clear sky,81.7,73,0,15.99
240,Chuy,-33.6971,-53.4616,clear sky,63.88,79,0,4.76
241,Cherskiy,68.75,161.3,overcast clouds,-11.11,95,100,2.84
242,Shelburne,44.0787,-80.2041,broken clouds,-0.44,84,74,4.05
243,Xichang,27.8964,102.2634,broken clouds,46.44,61,80,1.81
244,Norsup,-16.0667,167.3833,moderate rain,80.83,84,100,15.7
245,Muros,42.7762,-9.0603,clear sky,41.5,64,0,6.04
246,Los Llanos De Aridane,28.6585,-17.9182,few clouds,55.15,63,20,10.36
247,Walvis Bay,-22.9575,14.5053,overcast clouds,62.1,81,92,1.88
248,Vranovice,48.966,16.6066,overcast clouds,36.75,79,99,7.0
249,Taoudenni,22.6783,-3.9836,overcast clouds,68.47,12,100,10.63
250,Marawi,7.9986,124.2928,scattered clouds,74.64,62,25,3.15
251,Mount Pleasant,32.7941,-79.8626,broken clouds,41.0,64,75,1.99
252,Am Timan,11.0297,20.2827,few clouds,65.26,24,12,6.17
253,Kawalu,-7.3817,108.2082,overcast clouds,86.13,61,100,2.08
254,Ponta Do Sol,32.6667,-17.1,broken clouds,61.43,48,67,4.47
255,Iselin,40.5754,-74.3224,snow,31.3,92,100,4.0
256,La Palma,33.8464,-118.0467,few clouds,66.96,14,20,7.0
257,Coihaique,-45.5752,-72.0662,clear sky,66.81,42,0,3.44
258,Saint Anthony,45.0205,-93.218,few clouds,8.55,72,20,5.01
259,Murgab,37.4966,61.9714,clear sky,35.47,75,0,0.0
260,Rio Verde De Mato Grosso,-18.9181,-54.8442,overcast clouds,73.06,90,99,0.92
261,Shuangyang,43.5242,125.6736,clear sky,13.96,51,2,12.1
262,Sopelana,43.3789,-2.9831,broken clouds,43.07,78,75,1.01
263,Acapulco,16.8634,-99.8901,clear sky,76.78,78,0,3.8
264,Canberra,-35.2835,149.1281,light intensity shower rain,72.75,92,100,4.61
265,Lorengau,-2.0226,147.2712,overcast clouds,82.08,76,99,3.0
266,Bay Roberts,47.5999,-53.2648,broken clouds,30.33,85,60,3.0
267,Sol-Iletsk,51.1631,54.9918,overcast clouds,9.1,94,92,3.29
268,Chippewa Falls,44.9369,-91.3929,broken clouds,7.57,99,58,2.71
269,Aykhal,66.0,111.5,overcast clouds,-13.85,100,91,6.08
270,Vuktyl,63.8567,57.3094,overcast clouds,3.78,93,100,8.95
271,Chokwe,-24.5333,32.9833,overcast clouds,73.96,85,88,9.48
272,Leningradskiy,69.3833,178.4167,broken clouds,-10.3,91,54,3.27
273,Owando,-0.4819,15.8999,scattered clouds,69.96,48,36,2.44
274,Shankargarh,25.1833,81.6167,clear sky,59.54,43,0,5.93
275,Kodinsk,58.6881,99.1844,overcast clouds,-2.13,98,99,3.18
276,Dezhou,37.4486,116.2925,clear sky,38.7,34,4,1.95
277,Pochinki,54.6988,44.8668,overcast clouds,12.34,94,100,10.07
278,Houlton,46.1262,-67.8403,scattered clouds,7.21,72,40,11.5
279,Ukhta,63.5671,53.6835,overcast clouds,5.61,94,100,7.47
280,Saint-Pierre,-21.3393,55.4781,clear sky,79.18,61,0,3.44
281,Daru,-9.0763,143.2092,light rain,88.92,57,91,4.41
282,Kochevo,59.5994,54.3125,overcast clouds,10.67,96,100,4.52
283,Kavaratti,10.5669,72.642,clear sky,80.67,72,7,10.65
284,Kysyl-Syr,63.8986,122.7617,overcast clouds,-7.13,96,99,8.03
285,Sioux Lookout,50.1001,-91.917,scattered clouds,-0.02,84,40,3.44
286,Marica,-22.9194,-42.8186,overcast clouds,76.95,93,100,4.74
287,Tefe,-3.3542,-64.7114,overcast clouds,72.28,99,100,1.86
288,Marsh Harbour,26.5412,-77.0636,overcast clouds,73.58,66,100,21.41
289,Sakaiminato,35.55,133.2333,broken clouds,48.13,70,75,4.61
290,Santa Cruz,-17.8,-63.1667,broken clouds,74.66,88,75,4.61
291,Saldanha,-33.0117,17.9442,clear sky,57.25,81,0,10.71
292,Kamenka,51.3223,42.7678,light snow,24.15,96,100,11.54
293,Tuktoyaktuk,69.4541,-133.0374,scattered clouds,-16.6,76,40,17.27
294,Escalerillas,22.1333,-101.0667,broken clouds,42.67,81,75,20.71
295,Ufa,54.775,56.0375,broken clouds,-5.71,100,83,1.63
296,Dwarka,22.2394,68.9678,clear sky,69.33,46,0,9.31
297,Muscatine,41.4667,-91.1335,clear sky,11.37,62,0,0.0
298,Llanes,43.4198,-4.7549,clear sky,37.87,65,4,10.07
299,Namibe,-15.1961,12.1522,overcast clouds,70.86,83,100,6.26
300,Pafos,34.7667,32.4167,overcast clouds,42.58,81,100,5.75
301,Mahibadhoo,3.7833,72.9667,broken clouds,81.36,64,74,14.27
302,Erzin,36.9559,36.2,scattered clouds,34.32,75,26,4.38
303,Safonovo,55.15,33.2167,light snow,25.21,98,100,2.82
304,Carora,10.1755,-70.0827,scattered clouds,72.34,80,36,6.85
305,Chapleau,47.8405,-83.4034,overcast clouds,0.61,97,92,5.32
306,Sibolga,1.7427,98.7792,overcast clouds,86.18,62,100,3.74
307,Alofi,-19.0595,-169.9187,broken clouds,75.09,94,70,6.91
308,Kyren,51.6828,102.1408,scattered clouds,4.14,85,30,1.01
309,Ostrovnoy,68.0531,39.5131,overcast clouds,13.5,92,98,9.46
310,Axim,4.8699,-2.2405,scattered clouds,77.0,84,44,2.42
311,Tasiilaq,65.6145,-37.6368,broken clouds,6.49,68,66,6.2
312,Albert Lea,43.648,-93.3683,overcast clouds,10.49,72,100,4.61
313,Nouadhibou,20.931,-17.0347,overcast clouds,60.78,82,97,14.97
314,Thunder Bay,48.4001,-89.3168,broken clouds,3.18,72,75,3.44
315,Trairi,-3.2778,-39.2689,overcast clouds,71.8,89,100,3.69
316,Chumikan,54.7183,135.315,broken clouds,-4.72,79,72,18.12
317,Bella Vista,36.4295,-94.2316,clear sky,26.89,65,0,3.62
318,Mata,40.683,-7.4592,clear sky,40.93,66,0,6.4
319,Lasa,46.6166,10.7002,broken clouds,34.68,70,54,7.72
320,Turayf,31.6725,38.6637,clear sky,32.25,100,0,0.0
321,Port Macquarie,-31.4333,152.9167,scattered clouds,82.89,66,47,12.12
322,Trat,12.5,102.5,broken clouds,88.92,56,52,5.26
323,Vila Velha,-20.3297,-40.2925,clear sky,78.75,85,0,1.01
324,Byron Bay,-28.65,153.6167,scattered clouds,84.31,71,43,11.03
325,Bandarbeyla,9.4942,50.8122,light rain,72.77,72,94,16.67
326,Pevek,69.7008,170.3133,overcast clouds,-10.93,99,100,2.28
327,Bonavista,48.6499,-53.1147,overcast clouds,31.12,77,86,17.85
328,Grand Forks,47.9417,-97.4337,overcast clouds,10.08,85,100,9.22
329,Tevaitoa,-16.7833,-151.5,light rain,81.63,74,9,16.04
330,Tiksi,71.6872,128.8694,scattered clouds,-10.07,99,33,6.49
331,Patea,-39.7583,174.4833,clear sky,73.67,60,7,9.35
332,Wanning,18.8003,110.3967,overcast clouds,74.52,82,94,10.13
333,Hamilton,39.1834,-84.5333,broken clouds,16.72,85,75,1.99
334,Sao Joao Da Barra,-21.6403,-41.0511,broken clouds,75.78,90,60,16.64
335,Clyde River,70.4692,-68.5914,snow,-9.17,84,100,29.93
336,Sitka,57.0531,-135.33,moderate rain,38.66,96,100,7.09
337,Shimoda,34.6667,138.95,overcast clouds,50.36,61,96,5.06
338,Aviles,43.5547,-5.9248,overcast clouds,45.93,87,100,5.75
339,Pangkalanbuun,-2.6833,111.6167,overcast clouds,87.73,59,100,2.39
340,Jiayuguan,39.8167,98.3,clear sky,25.21,28,4,2.35
341,Makushino,55.2103,67.2442,overcast clouds,6.78,93,100,5.95
342,Tuy Hoa,13.0833,109.3,broken clouds,80.65,69,66,6.33
343,Jhalu,29.35,78.25,clear sky,53.67,64,0,5.06
344,Kisangani,0.5167,25.2,overcast clouds,67.89,65,100,1.66
345,Coxim,-18.5067,-54.76,overcast clouds,74.26,90,100,0.98
346,Kiama,-34.6833,150.8667,overcast clouds,91.0,68,94,5.99
347,Taltal,-25.4,-70.4833,clear sky,65.73,80,7,1.57
348,Jardim,-21.4803,-56.1381,broken clouds,72.14,96,69,2.59
349,Ponta Delgada,37.7333,-25.6667,few clouds,57.92,77,20,6.91
350,Hadejia,12.4498,10.0444,clear sky,59.85,16,2,12.21
351,Mena,51.5217,32.2157,light snow,32.18,98,100,14.9
352,Sobolevo,54.4299,31.8996,light snow,28.22,95,100,15.1
353,Kerman,30.2832,57.0788,clear sky,28.26,64,0,4.61
354,Rioja,-29.4111,-66.8507,few clouds,73.6,65,13,1.81
355,Arlit,18.7369,7.3853,clear sky,57.4,18,0,5.73
356,Baykit,61.67,96.37,overcast clouds,-3.78,98,100,2.59
357,Chapais,49.7834,-74.8492,scattered clouds,-25.82,100,26,3.2
358,Swan Hill,-35.3378,143.5544,overcast clouds,84.31,54,85,10.51
359,Sant Pere De Ribes,41.2667,1.7667,clear sky,52.66,41,3,7.0
360,Santiago Del Estero,-27.7951,-64.2615,clear sky,69.19,58,0,3.44
361,Izumo,35.3667,132.7667,broken clouds,48.09,49,75,14.97
362,Iqaluit,63.7506,-68.5145,scattered clouds,-22.27,69,40,14.97
363,Haines Junction,60.7522,-137.5108,overcast clouds,26.55,68,100,10.36
364,Constitucion,-35.3333,-72.4167,clear sky,56.39,93,7,3.87
365,Merauke,-8.4667,140.3333,overcast clouds,87.13,63,100,10.04
366,Hokitika,-42.7167,170.9667,scattered clouds,66.6,59,37,7.81
367,Goma,-1.6792,29.2228,overcast clouds,62.87,78,97,3.42
368,San Cristobal,7.7669,-72.225,clear sky,69.98,83,4,3.11
369,Puro,12.4841,123.3827,scattered clouds,83.89,71,34,2.73
370,Uthal,25.8072,66.6219,clear sky,65.57,46,0,2.95
371,Gurupi,-11.7292,-49.0686,overcast clouds,71.24,95,100,4.81
372,Kijang,35.2442,129.2139,broken clouds,40.73,15,66,1.57
373,Vostok,46.4856,135.8833,overcast clouds,-2.88,86,100,11.63
