City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Rancho Palos Verdes,65.52,clear sky,33.7445,-118.387,Terranea Resort
565,Coari,73.44,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
574,Dongli,65.1,broken clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
576,Samana,70.99,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
577,Uchiza,71.83,moderate rain,-8.4592,-76.4633,Hotel San Pedro
579,Zhuhai,70.72,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
582,Villarrica,70.9,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
584,Hatillo,74.86,few clouds,18.4863,-66.8254,Hotel Parador El Buen Café
595,Santiago De Cao,66.33,clear sky,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
600,Todos Santos,67.44,clear sky,23.45,-110.2167,Hotel California Todos Santos
602,Bria,64.04,overcast clouds,6.5423,21.9863,WFP Guesthouse
606,Monrovia,79.05,light rain,6.3005,-10.7969,Sunset Inn
610,Santa Isabel Do Rio Negro,73.94,overcast clouds,-0.4139,-65.0192,Hotel GSA
614,Beyla,69.08,few clouds,8.6833,-8.6333,DIAN SINKO
620,Ambilobe,75.63,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
622,Ahmadpur East,60.35,clear sky,29.1431,71.2598,Irfan fabrics
623,Hualmay,69.51,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
625,Nueve De Julio,64.71,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
631,Maceio,78.24,moderate rain,-9.6658,-35.7353,Poutur Pousada
632,Pauini,73.2,heavy intensity rain,-7.7136,-66.9764,Casa do Kiwliks
637,Dunedin,67.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
640,Mindelo,69.35,overcast clouds,16.8901,-24.9804,Hotel Gaudi
641,Tura,65.91,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
646,Mandaguacu,67.84,overcast clouds,-23.3472,-52.0953,Comaq Palace Hotel
648,Alice Town,71.85,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
655,Kalabo,64.35,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
656,Eyl,72.99,overcast clouds,7.9803,49.8164,Amiin Hotel
659,Kasese,67.23,overcast clouds,0.1833,30.0833,Sandton Hotel Kasese
662,Panaba,69.8,broken clouds,21.2833,-88.2667,Hotel California
663,Presidencia Roque Saenz Pena,69.73,clear sky,-26.7852,-60.4388,Hotel Gualok
664,Wanaka,78.12,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
666,San Vicente,62.17,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
667,Luanda,77.16,overcast clouds,-8.8368,13.2343,Hotel Fórum
669,Puerto Ayacucho,75.65,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
670,Mogadishu,75.06,overcast clouds,2.0371,45.3438,Hotel Juba
671,Puerto Escondido,76.71,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
